    Andover	alphaEnquiries	9
    Basingstoke	alphaEnquiries	2
    Poole	alphaEnquiries	10
    Woking	alphaEnquiries	11
    Newbury	alphaEnquiries	25
    Portsmouth	alphaEnquiries	8.5
    Alresford	alphaEnquiries	9
    Salisbury	alphaEnquiries	5
    Guildford	alphaEnquiries	9.5
    Alton	alphaEnquiries	3
    Weybridge	alphaEnquiries	8
    Dorchester	alphaEnquiries	7.5
    Bridport	alphaEnquiries	10
    Weymouth	alphaEnquiries	7.5
    Portland	alphaEnquiries	2
    Chichester	alphaEnquiries	7
    Petersfield	alphaEnquiries	15
    Petworth	alphaEnquiries	8
    Midhurst	alphaEnquiries	2.5
    Reading	alphaEnquiries	35
    Southampton	alphaEnquiries	27
    Bournemouth	alphaEnquiries	25
    Henley	alphaEnquiries	8.5
    Maidenhead	alphaEnquiries	12
    Fareham	alphaEnquiries	7.5
    Romsey	alphaEnquiries	2.5
    Ringwood	alphaEnquiries	1.9
    Winchester	betaEnquiries	4
    Andover	betaEnquiries	4.5
    Basingstoke	betaEnquiries	1.5
    Poole	betaEnquiries	6
    Woking	betaEnquiries	5
    Newbury	betaEnquiries	1.9
    Portsmouth	betaEnquiries	3
    Alresford	betaEnquiries	4
    Salisbury	betaEnquiries	2.5
    Guildford	betaEnquiries	4.5
    Alton	betaEnquiries	2
    Weybridge	betaEnquiries	4.5
    Dorchester	betaEnquiries	4
    Bridport	betaEnquiries	6
    Weymouth	betaEnquiries	3.5
    Portland	betaEnquiries	1.5
    Chichester	betaEnquiries	3.5
    Petersfield	betaEnquiries	8
    Petworth	betaEnquiries	5
    Midhurst	betaEnquiries	1.5
    Reading	betaEnquiries	20
    Southampton	betaEnquiries	12
    Bournemouth	betaEnquiries	13
    Henley	betaEnquiries	4.5
    Maidenhead	betaEnquiries	7
    Fareham	betaEnquiries	3.5
    Romsey	betaEnquiries	1
    Ringwood	betaEnquiries	1.2 ;

param: DMU_OUTATTR: outputs := 
    Winchester	alphaSales	2
    Andover	alphaSales	2.3
    Basingstoke	alphaSales	0.8
    Poole	alphaSales	2.6
    Woking	alphaSales	2.4
    Newbury	alphaSales	8
    Portsmouth	alphaSales	2.5
    Alresford	alphaSales	2.1
    Salisbury	alphaSales	2
    Guildford	alphaSales	2.05
    Alton	alphaSales	1.9
    Weybridge	alphaSales	1.8
    Dorchester	alphaSales	1.5
    Bridport	alphaSales	2.2
    Weymouth	alphaSales	1.8
    Portland	alphaSales	0.9
    Chichester	alphaSales	1.2
    Petersfield	alphaSales	6
    Petworth	alphaSales	1.5
    Midhurst	alphaSales	0.8
    Reading	alphaSales	7
    Southampton	alphaSales	6.5
    Bournemouth	alphaSales	5.5
    Henley	alphaSales	1.2
    Maidenhead	alphaSales	4.5
    Fareham	alphaSales	1.1
    Romsey	alphaSales	0.4
    Ringwood	alphaSales	0.3
    Winchester	BetaSales	0.6
    Andover	BetaSales	0.7
    Basingstoke	BetaSales	0.25
    Poole	BetaSales	0.86
    Woking	BetaSales	1
    Newbury	BetaSales	2.6
    Portsmouth	BetaSales	0.9
    Alresford	BetaSales	0.85
    Salisbury	BetaSales	0.65
    Guildford	BetaSales	0.75
    Alton	BetaSales	0.7
    Weybridge	BetaSales	0.63
    Dorchester	BetaSales	0.45
    Bridport	BetaSales	0.65
    Weymouth	BetaSales	0.62
    Portland	BetaSales	0.35
    Chichester	BetaSales	0.45
    Petersfield	BetaSales	0.25
    Petworth	BetaSales	0.55
    Midhurst	BetaSales	0.2
    Reading	BetaSales	2.5
    Southampton	BetaSales	3.5
    Bournemouth	BetaSales	3.1
    Henley	BetaSales	0.48
    Maidenhead	BetaSales	2
    Fareham	BetaSales	0.48
    Romsey	BetaSales	0.1
    Ringwood	BetaSales	0.09
    Winchester	profit	1.5
    Andover	profit	1.6
    Basingstoke	profit	0.5
    Poole	profit	1.9
    Woking	profit	2
    Newbury	profit	4.5
    Portsmouth	profit	1.6
    Alresford	profit	2
    Salisbury	profit	0.9
    Guildford	profit	1.7
    Alton	profit	0.5
    Weybridge	profit	1.4
    Dorchester	profit	1.45
    Bridport	profit	2.2
    Weymouth	profit	1.6
    Portland	profit	0.5
    Chichester	profit	1.3
    Petersfield	profit	2.9
    Petworth	profit	1.55
    Midhurst	profit	0.45
    Reading	profit	8
    Southampton	profit	5.4
    Bournemouth	profit	4.5
    Henley	profit	2
    Maidenhead	profit	2.3
    Fareham	profit	1.7
    Romsey	profit	0.55
    Ringwood	profit	0.4 ;
